total_workers,time,speedup
0,1,0.09903309400033322,1.0
1,2,0.08627767799771391,1.1478414382333897
2,3,0.09377038399907178,1.0561233704803163
3,4,0.10044320199813228,0.9859611405277056
4,5,0.118480314999033,0.8358611639506656
5,6,0.12431544100036263,0.7966274599793629
6,7,0.13434847600001376,0.7371359687051685
7,8,0.14785786900029052,0.6697857521545819
8,9,0.16187899299984565,0.6117723625846107
9,10,0.1753426909999689,0.5647973886767301
10,11,0.19229647899919655,0.5150021181653929
11,12,0.20603737799683586,0.48065596137538735
12,13,0.22174152099978528,0.4466150207404283
13,14,0.23342008699910366,0.4242698015990094
14,15,0.24771875200167415,0.39978036866447614
15,16,0.2688550029997714,0.36835131537581034
